mode,difficulty,cases,tp,fp,fn,precision,recall,f1,pref_exact,full_call_exact,function_accuracy
multi,easy,554,0,0,583,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
multi,hard,472,0,0,472,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
multi,medium,293,0,0,293,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
single,easy,554,0,0,583,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
single,hard,472,0,0,472,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
single,medium,293,0,0,293,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
