pref_type,rows,f1_0312_MEMORY1_max10,pref_em_mean_0312_MEMORY1_max10,f1_1231_MEMORY3_max3,pref_em_mean_1231_MEMORY3_max3
easy,15,0.6087952050643141,0.30903613333333335,0.6150878126663119,0.3351405622489959
medium,15,0.5684631298432625,0.14675773333333333,0.5745371649626969,0.17224118316268483
hard,15,0.4844062201372601,0.03290966666666666,0.45005054089511154,0.03347457627118642
