task,rows,mean_delta,median_delta,mean_abs_delta,share_within_0.01,share_within_0.02,share_within_0.03
multiturn,45,0.007454054232436686,0.0055616918798665,0.025599972232027632,0.2222222222222222,0.4444444444444444,0.7111111111111111
singleturn,48,0.0028188545621072206,0.0025817632095333,0.012888942798049816,0.4583333333333333,0.8125,0.9166666666666666
