memory_model_norm,pref_type,action_model,tp_0312_MEMORY1_max10,fp_0312_MEMORY1_max10,fn_0312_MEMORY1_max10,precision_0312_MEMORY1_max10,recall_0312_MEMORY1_max10,f1_0312_MEMORY1_max10,n_examples_0312_MEMORY1_max10,tp_1231_MEMORY3_max3,fp_1231_MEMORY3_max3,fn_1231_MEMORY3_max3,precision_1231_MEMORY3_max3,recall_1231_MEMORY3_max3,f1_1231_MEMORY3_max3,n_examples_1231_MEMORY3_max3,f1_diff
gemma-3-12b-it,hard,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,52,667,420,0.072323,0.110169,0.087322,472,59,658,413,0.0822873082287308,0.125,0.0992430613961312,0,-0.011921061396131208
gemma-3-12b-it,hard,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,78,570,394,0.12037,0.165254,0.139286,472,69,630,403,0.0987124463519313,0.1461864406779661,0.1178479931682322,0,0.02143800683176779
gemma-3-12b-it,hard,google_codegemma-7b-it,89,1106,383,0.074477,0.188559,0.106779,472,89,1126,383,0.0732510288065843,0.1885593220338983,0.1055127445168939,0,0.0012662554831061046
gemma-3-12b-it,hard,google_gemma-3-12b-it,33,205,439,0.138655,0.069915,0.092958,472,34,202,438,0.1440677966101695,0.0720338983050847,0.096045197740113,0,-0.0030871977401129985
gemma-3-12b-it,medium,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,162,460,131,0.26045,0.552901,0.354098,293,177,460,116,0.2778649921507064,0.6040955631399317,0.3806451612903225,0,-0.026547161290322474
gemma-3-12b-it,medium,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,122,394,171,0.236434,0.416382,0.301607,293,142,376,151,0.2741312741312741,0.4846416382252559,0.3501849568434032,0,-0.04857795684340316
gemma-3-12b-it,medium,google_codegemma-7b-it,221,659,72,0.251136,0.754266,0.376812,293,221,723,72,0.2341101694915254,0.7542662116040956,0.3573160873080032,0,0.019495912691996797
gemma-3-12b-it,medium,google_gemma-3-12b-it,160,145,133,0.52459,0.546075,0.535117,293,158,149,135,0.5146579804560261,0.5392491467576792,0.5266666666666667,0,0.008450333333333226
gpt-4o-mini,easy,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,267,340,94,0.439868,0.739612,0.551653,332,255,317,106,0.4458041958041958,0.7063711911357341,0.5466237942122186,0,0.005029205787781321
gpt-4o-mini,easy,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,214,333,147,0.391225,0.592798,0.471366,332,232,388,129,0.3741935483870968,0.6426592797783933,0.472986748216106,0,-0.0016207482161059716
gpt-4o-mini,easy,google_codegemma-7b-it,295,499,66,0.371537,0.817175,0.510823,332,294,532,67,0.3559322033898305,0.814404432132964,0.4953664700926706,0,0.01545652990732943
gpt-4o-mini,easy,google_gemma-3-12b-it,238,80,123,0.748428,0.65928,0.701031,332,230,79,131,0.7443365695792881,0.6371191135734072,0.6865671641791046,0,0.014463835820895388
gpt-4o-mini,hard,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,68,645,404,0.095372,0.144068,0.114768,472,72,592,400,0.108433734939759,0.1525423728813559,0.1267605633802817,0,-0.011992563380281693
gpt-4o-mini,hard,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,92,640,380,0.125683,0.194915,0.152824,472,107,703,365,0.1320987654320987,0.2266949152542373,0.1669266770670826,0,-0.014102677067082625
gpt-4o-mini,hard,google_codegemma-7b-it,103,1040,369,0.090114,0.21822,0.127554,472,103,1027,369,0.0911504424778761,0.2182203389830508,0.1285892634207241,0,-0.001035263420724103
gpt-4o-mini,hard,google_gemma-3-12b-it,30,232,442,0.114504,0.063559,0.081744,472,31,247,441,0.1115107913669064,0.0656779661016949,0.0826666666666666,0,-0.0009226666666665995
gpt-4o-mini,medium,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,194,382,99,0.336806,0.662116,0.44649,293,200,445,93,0.3100775193798449,0.6825938566552902,0.4264392324093817,0,0.0200507675906183
gpt-4o-mini,medium,deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,161,400,132,0.286988,0.549488,0.377049,293,154,403,139,0.2764811490125673,0.5255972696245734,0.3623529411764705,0,0.014696058823529534
gpt-4o-mini,medium,google_codegemma-7b-it,228,593,65,0.27771,0.778157,0.409336,293,227,577,66,0.2823383084577114,0.7747440273037542,0.4138559708295352,0,-0.004519970829535203
gpt-4o-mini,medium,google_gemma-3-12b-it,176,139,117,0.55873,0.600683,0.578947,293,170,143,123,0.5431309904153354,0.5802047781569966,0.5610561056105611,0,0.017890894389438916
