retry_cap,verifier_lines,valid_count,pair_count,total_pairs,valid_share_of_total_pairs
0,0,0,0,2020,0.0
1,2020,1980,2020,2020,0.9801980198019802
2,2045,2014,2020,2020,0.997029702970297
3,2058,2016,2020,2020,0.998019801980198
4,2060,2020,2020,2020,1.0
5,2063,2020,2020,2020,1.0
