mode,difficulty,cases,tp,fp,fn,precision,recall,f1,pref_exact,full_call_exact,function_accuracy
multi,easy,554,138,125,445,0.524714828897,0.236706689537,0.326241134752,0.187725631769,0.120938628159,0.796028880866
multi,hard,472,44,137,428,0.243093922652,0.093220338983,0.134762633997,0.084745762712,0.000000000000,0.866525423729
multi,medium,293,117,86,176,0.576354679803,0.399317406143,0.471774193548,0.290102389078,0.000000000000,0.890784982935
single,easy,554,286,147,297,0.660508083141,0.490566037736,0.562992125984,0.373646209386,0.162454873646,0.777978339350
single,hard,472,94,434,378,0.178030303030,0.199152542373,0.188000000000,0.097457627119,0.012711864407,0.927966101695
single,medium,293,187,215,106,0.465174129353,0.638225255973,0.538129496403,0.313993174061,0.085324232082,0.986348122867
