step,count,share_of_total_pairs
1,9495,0.94009900990099
2,430,0.04257425742574258
3,104,0.010297029702970298
4,38,0.0037623762376237622
5,12,0.001188118811881188
6,2,0.00019801980198019803
7,9,0.0008910891089108911
8,2,0.00019801980198019803
9,5,0.0004950495049504951
10,3,0.000297029702970297
