setting,total_pairs,total_attempts,avg_attempts,total_valid_pairs,valid_rate,valid_after3_count,valid_after3_rate,pairs_reaching_step4_count,pairs_reaching_step4_rate,extra_attempts_over3,avg_extra_attempts_over3_per_pair
0312_MEMORY1_max10,10100,11045,1.0935643564356436,10098,0.9998019801980198,69,0.006831683168316832,71,0.00702970297029703,165,0.016336633663366337
1231_MEMORY3_max3,10099,10714,1.0608971185265867,10031,0.993266660065353,0,0.0,0,0.0,0,0.0
