pref_type,rows,f1_0312_MEMORY1_max10,f1_1231_MEMORY3_max3
easy,16,0.5335660580021482,0.5296432144048017
medium,16,0.4017754868270332,0.3999999999999999
hard,16,0.1111052548358193,0.10852550296790461
