mode,difficulty,cases,tp,fp,fn,precision,recall,f1,pref_exact,full_call_exact,function_accuracy
multi,easy,554,181,48,402,0.790393013100,0.310463121784,0.445812807882,0.267148014440,0.146209386282,0.619133574007
multi,hard,472,5,94,467,0.050505050505,0.010593220339,0.017513134851,0.008474576271,0.000000000000,0.650423728814
multi,medium,293,100,72,193,0.581395348837,0.341296928328,0.430107526882,0.235494880546,0.034129692833,0.641638225256
single,easy,554,264,42,319,0.862745098039,0.452830188679,0.593925759280,0.400722021661,0.342960288809,0.861010830325
single,hard,472,8,66,464,0.108108108108,0.016949152542,0.029304029304,0.016949152542,0.012711864407,0.997881355932
single,medium,293,122,77,171,0.613065326633,0.416382252560,0.495934959350,0.313993174061,0.259385665529,0.952218430034
